adduser	3.137ubuntu1
libtinfo6:amd64	6.4+20240113-1ubuntu2
libtirpc-common	1.3.4+ds-1.1build1
libtirpc3t64:amd64	1.3.4+ds-1.1build1
libtraceevent1:amd64	1:1.8.2-1ubuntu2.1
libtry-tiny-perl	0.31-2
libtsan2:amd64	14.2.0-4ubuntu2~24.04
libtypes-serialiser-perl	1.01-1
libubsan1:amd64	14.2.0-4ubuntu2~24.04
libuchardet0:amd64	0.0.8-1build1
libudev1:amd64	255.4-1ubuntu8.10
libunistring5:amd64	1.1-2build1.1
libunwind8:amd64	1.6.2-3build1.1
libupower-glib3:amd64	1.90.3-1
liburi-perl	5.27-1
libusb-1.0-0:amd64	2:1.0.27-1
libusbmuxd6:amd64	2.0.2-4build3
libutempter0:amd64	1.2.1-3build1
libuuid1:amd64	2.39.3-9ubuntu6.3
libuv1-dev:amd64	1.48.0-1.1build1
libuv1t64:amd64	1.48.0-1.1build1
libvorbis0a:amd64	1.3.7-1build3
libvorbisenc2:amd64	1.3.7-1build3
libvulkan1:amd64	1.3.275.0-1build1
libwayland-client0:amd64	1.22.0-2.1build1
libwayland-cursor0:amd64	1.22.0-2.1build1
libwayland-egl1:amd64	1.22.0-2.1build1
libwayland-server0:amd64	1.22.0-2.1build1
libwebp7:amd64	1.3.2-0.4build3
libwww-perl	6.76-1
libwww-robotrules-perl	6.02-1
libx11-6:amd64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-protocol-perl	0.56-9
libx11-xcb1:amd64	2:1.8.7-1build1
libxau6:amd64	1:1.0.9-1build6
libxaw7:amd64	2:1.0.14-1build2
libxcb-dri2-0:amd64	1.15-1ubuntu2
libxcb-dri3-0:amd64	1.15-1ubuntu2
libxcb-glx0:amd64	1.15-1ubuntu2
libxcb-present0:amd64	1.15-1ubuntu2
libxcb-randr0:amd64	1.15-1ubuntu2
libxcb-render0:amd64	1.15-1ubuntu2
libxcb-shape0:amd64	1.15-1ubuntu2
libxcb-shm0:amd64	1.15-1ubuntu2
libxcb-sync1:amd64	1.15-1ubuntu2
libxcb-xfixes0:amd64	1.15-1ubuntu2
libxcb1:amd64	1.15-1ubuntu2
libxcomposite1:amd64	1:0.4.5-1build3
libxcursor1:amd64	1:1.2.1-1build1
libxdamage1:amd64	1:1.1.6-1build1
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libxext6:amd64	2:1.3.4-1build2
libxfixes3:amd64	1:6.0.0-2build1
libxft2:amd64	2.3.6-1build1
libxi6:amd64	2:1.8.1-1build1
libxinerama1:amd64	2:1.1.4-3build1
libxkbcommon0:amd64	1.6.0-1build1
libxkbfile1:amd64	1:1.1.0-1build4
libxml-parser-perl	2.47-1build3
libxml-twig-perl	1:3.52-2
libxml-xpathengine-perl	0.14-2
libxml2-dev:amd64	2.9.14+dfsg-1.3ubuntu3.5
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.5
libxmlb2:amd64	0.3.18-1
libxmu6:amd64	2:1.1.3-3build2
libxmuu1:amd64	2:1.1.3-3build2
libxpm4:amd64	1:3.5.17-1build2
libxrandr2:amd64	2:1.5.2-2build1
libxrender1:amd64	1:0.9.10-1.1build1
libxshmfence1:amd64	1.3-1build5
libxslt1.1:amd64	1.1.39-0exp1ubuntu0.24.04.2
libxt6t64:amd64	1:1.2.1-1.2build1
libxtables12:amd64	1.8.10-3ubuntu2
libxtst6:amd64	2:1.2.3-1.1build1
libxv1:amd64	2:1.0.11-1.1build1
libxxf86dga1:amd64	2:1.1.5-1build1
libxxf86vm1:amd64	1:1.1.4-1build4
libxxhash0:amd64	0.8.2-2build1
libyaml-0-2:amd64	0.2.5-1build1
libz3-4:amd64	4.8.12-3.1build1
libz3-dev:amd64	4.8.12-3.1build1
libzstd1:amd64	1.5.5+dfsg2-2build1.1
linux-base	4.5ubuntu9+24.04.1
linux-firmware	20240318.git3b128b60-0ubuntu2.17
linux-headers-6.8.0-83-lowlatency	6.8.0-83.83.1
linux-headers-6.8.0-84-lowlatency	6.8.0-84.84.1
linux-headers-lowlatency	6.8.0-84.84.1
linux-image-6.8.0-79-lowlatency	6.8.0-79.79.1
linux-image-6.8.0-83-lowlatency	6.8.0-83.83.1
linux-image-6.8.0-84-lowlatency	6.8.0-84.84.1
linux-image-lowlatency	6.8.0-84.84.1
linux-libc-dev:amd64	6.8.0-84.84
linux-lowlatency	6.8.0-84.84.1
linux-lowlatency-headers-6.8.0-83	6.8.0-83.83.1
linux-lowlatency-headers-6.8.0-84	6.8.0-84.84.1
linux-lowlatency-tools-6.8.0-83	6.8.0-83.83.1
linux-lowlatency-tools-6.8.0-84	6.8.0-84.84.1
linux-modules-6.8.0-79-lowlatency	6.8.0-79.79.1
linux-modules-6.8.0-83-lowlatency	6.8.0-83.83.1
linux-modules-6.8.0-84-lowlatency	6.8.0-84.84.1
linux-tools-6.8.0-83-lowlatency	6.8.0-83.83.1
linux-tools-6.8.0-84-lowlatency	6.8.0-84.84.1
linux-tools-common	6.8.0-84.84
lldb-18	1:18.1.3-1ubuntu1
llvm-18	1:18.1.3-1ubuntu1
llvm-18-dev	1:18.1.3-1ubuntu1
llvm-18-linker-tools	1:18.1.3-1ubuntu1
llvm-18-runtime	1:18.1.3-1ubuntu1
llvm-18-tools	1:18.1.3-1ubuntu1
locales	2.39-0ubuntu8.6
login	1:4.13+dfsg1-4ubuntu3.2
logrotate	3.21.0-2build1
logsave	1.47.0-2.4~exp1ubuntu4.1
lsb-release	12.0-2
lshw	02.19.git.2021.06.19.996aaad9c7-2build3
lsof	4.95.0-1build3
lto-disabled-list	47
make	4.3-4.1build2
man-db	2.12.0-4build2
manpages	6.7-2
manpages-dev	6.7-2
mawk	1.3.4.20240123-1build1
media-types	10.1.0
mesa-libgallium:amd64	25.0.7-0ubuntu0.24.04.1
mesa-vulkan-drivers:amd64	25.0.7-0ubuntu0.24.04.1
motd-news-config	13ubuntu10.3
mount	2.39.3-9ubuntu6.3
nano	7.2-2ubuntu0.1
ncurses-base	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2
net-tools	2.10-0.1ubuntu4.4
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
netplan-generator	1.1.2-2~ubuntu24.04.2
netplan.io	1.1.2-2~ubuntu24.04.2
networkd-dispatcher	2.2.4-1
node-abbrev	1.1.1+~1.1.2-1
node-ampproject-remapping	2.2.0+~cs5.15.37-1
node-ansi-regex	5.0.1-1
node-ansi-styles	6.2.1-2
node-aproba	2.0.0-3
node-are-we-there-yet	3.0.1+~1.1.0-1
node-arrify	2.0.1-3
node-async	0.8.0-6
node-async-each	1.0.3-3
node-auto-bind	4.0.0-2
node-babel-plugin-add-module-exports	1.0.4+dfsg1~cs5.8.0-4
node-babel7-runtime	7.20.15+ds1+~cs214.269.168-6build1
node-balanced-match	2.0.0-1
node-base64-js	1.5.1+dfsg+~1.3.0-2
node-binary-extensions	2.2.0-2
node-brace-expansion	2.0.1+~1.1.0-1
node-busboy	1.6.0+~cs2.6.0-2
node-camelcase	7.0.0-3
node-caniuse-lite	1.0.30001571+dfsg+~1.0.5-1
node-chownr	2.0.0-2
node-chrome-trace-event	1.0.3-2
node-ci-info	4.0.0+~cs1.1.0-1build2
node-cjs-module-lexer	1.2.3+dfsg-1
node-cli-boxes	3.0.0-1build2
node-cli-cursor	4.0.0-3
node-clone	2.1.2+~2.1.2-1
node-collection-visit	1.0.0-4
node-color-convert	2.0.1+~cs2.0.0-2
node-color-name	1.1.4+~1.1.1-2
node-colors	1.4.0-4
node-commander	9.4.1-1
node-commondir	1.0.1+~1.0.0-1
node-concat-stream	2.0.0+~2.0.0-2
node-console-control-strings	1.1.0-3
node-convert-source-map	1.9.0+~1.5.2-1
node-core-js	3.33.2-1build2
node-core-js-pure	3.33.2-1build2
node-core-util-is	1.0.3-1
node-data-uri-to-buffer	5.0.1~0~2023071921-5
node-decompress-response	6.0.0-2
node-deep-is	0.1.4-1
node-defaults	1.0.4+~1.0.3-1
node-define-property	2.0.2+really+2.0.2-3
node-delegates	1.0.0-3
node-depd	2.0.0-2
node-diff	5.0.0~dfsg+~5.0.1-4
node-electron-to-chromium	1.4.616-1
node-encoding	0.1.13-2
node-end-of-stream	1.4.4+~1.4.1-1
node-err-code	2.0.3+dfsg-3
node-error-ex	1.3.2-4
node-es-module-lexer	1.1.0+dfsg-3
node-escape-string-regexp	4.0.0-2
node-eslint-utils	3.0.0-3
node-eslint-visitor-keys	3.3.0+~1.0.0-1
node-esprima	4.0.1+ds+~4.0.3-2
node-esquery	1.4.2~ds-1
node-estraverse	5.3.0+ds+~5.1.1-1
node-esutils	2.0.3+~2.0.0-1
node-events	3.3.0+~3.0.0-3
node-fancy-log	1.3.3+~cs1.3.1-2
node-fast-deep-equal	3.1.3-3
node-fast-levenshtein	2.0.6+ds-3
node-fetch	3.3.2+~cs11.4.11-1
node-find-up	6.3.0-7
node-flatted	3.2.7~ds-1
node-foreground-child	3.1.1-2
node-fs-readdir-recursive	1.1.0+~1.1.0-1
node-fs-write-stream-atomic	1.0.10-6
node-fs.realpath	1.0.0-3
node-function-bind	1.1.2+~cs2.1.14-1
node-get-caller-file	2.0.5+~cs1.1.1-4
node-get-stream	6.0.1-1
node-get-value	1:3.0.1-4
node-glob	8.1.0+~cs8.5.15-1
node-globals	13.23.0-1
node-got	11.8.5+~cs58.13.36-3
node-graceful-fs	4.2.10-1
node-growl	1.10.5-4
node-has-flag	4.0.0-3
node-has-unicode	2.0.1-5
node-has-value	2.0.2-4
node-has-values	2.0.1-4
node-hosted-git-info	6.1.1-2
node-iconv-lite	0.6.3-3
node-ieee754	1.2.1-3
node-iferr	1.0.2+~1.0.2-1
node-imurmurhash	0.1.4+dfsg+~0.1.1-2
node-indent-string	4.0.0-2
node-inflight	1.0.6-2
node-inherits	2.0.4-6
node-ini	3.0.1-2
node-interpret	2.2.0-3
node-ip	2.0.0+~1.1.0-1ubuntu1
node-ip-regex	4.3.0+~4.1.1-1
node-is-arrayish	0.3.2-3
node-is-binary-path	2.1.0-5
node-is-buffer	2.0.5-2
node-is-descriptor	3.0.0-2
node-is-extglob	2.1.1-5
node-is-path-cwd	2.2.0-2
node-is-plain-obj	3.0.0-2
node-is-plain-object	5.0.0-7
node-is-stream	3.0.0-4
node-is-typedarray	1.0.0-4
node-is-windows	1.0.2+~cs1.0.0-1
node-isarray	2.0.5-4
node-isexe	2.0.0+~2.0.1-5
node-isobject	4.0.0-2
node-js-tokens	8.0.0-2
node-json-buffer	3.0.1+~3.0.0-1
node-json-parse-better-errors	1.0.2+~cs3.3.1-2
node-json-schema	0.4.0+~7.0.11-1
node-json-schema-traverse	1.0.0-3
node-json-stable-stringify	1.0.2+repack1+~cs1.0.34-2
node-jsonify	0.0.1-1
node-jsonparse	1.3.1-10
node-kind-of	6.0.3+dfsg-2
node-levn	0.4.1+dfsg-2
node-loader-runner	4.3.0-1
node-locate-path	7.1.1-2
node-lodash-packages	4.17.21+dfsg+~cs8.31.198.20210220-9
node-lowercase-keys	2.0.0-2
node-lru-cache	7.14.1-1
node-map-visit	1.0.0-4
node-memfs	3.4.12+~cs1.0.3-1
node-merge-stream	2.0.0+~1.1.2-2
node-mime	3.0.0+dfsg+~cs6.97.2-1
node-mimic-response	3.1.0-8
node-minimatch	9.0.3-4build5
node-minimist	1.2.8+~cs5.3.5-1
node-minipass	3.3.6+~cs9.4.19-1
node-mute-stream	0.0.8+~0.0.1-3
node-n3	1.16.3+~1.2.3+~1.10.4-1
node-negotiator	0.6.3+~0.6.1-1
node-npm-run-path	5.1.0+~4.0.0-8
node-object-inspect	1.12.2+~cs1.8.1-1
node-object-visit	1.0.1-5
node-once	1.4.1-1
node-optimist	0.6.1+~0.0.30-2
node-optionator	0.9.1+dfsg+~cs1.2.3-1
node-osenv	0.1.5+~0.1.1-1
node-p-cancelable	2.1.1-1
node-p-limit	4.0.0+~cs4.0.0-5
node-p-locate	6.0.0-12
node-p-map	4.0.0+~3.1.0+~3.0.1-1
node-pascalcase	1.0.0-1
node-path-dirname	1.0.2-2
node-path-exists	5.0.0-8
node-path-is-absolute	2.0.0-2
node-path-is-inside	1.0.2+~1.0.0-1
node-path-type	4.0.0-3
node-pify	5.0.0+~cs5.0.1-1
node-pkg-dir	5.0.0-2
node-postcss-value-parser	4.2.0-1
node-prelude-ls	1.2.1+dfsg-3
node-process-nextick-args	2.0.1-3
node-promise-inflight	1.0.1+~1.0.0-1
node-promise-retry	2.0.1-4
node-promzard	0.3.0-2
node-prr	1.0.1-3
node-pump	3.0.0-5
node-punycode	2.2.3-2
node-quick-lru	6.1.1-4
node-randombytes	2.1.0+~2.0.0-2
node-read	1.0.7-5
node-readable-stream	3.6.0+~cs3.0.0-4build1
node-rechoir	0.8.0+~0.6.1-2
node-regenerator-runtime	0.15.2+~0.10.8-1
node-regenerator-transform	0.15.2+~0.10.8-1
node-regexpp	3.2.0-5
node-regjsgen	0.7.1+ds-1
node-repeat-string	1.6.1+repack-1
node-require-directory	2.1.1+~2.1.2-1
node-require-from-string	2.0.2+~1.2.1-1
node-resolve	1.22.8+~cs5.34.15-2
node-resolve-cwd	3.0.0-2
node-resolve-from	5.0.0+~3.1.0+~3.3.0+~2.0.0-1
node-restore-cursor	4.0.0-4
node-resumer	0.0.0-6
node-retry	0.13.1+~0.12.1-1
node-run-queue	2.0.0-3
node-safe-buffer	5.2.1+~cs2.1.2-3
node-serialize-javascript	6.0.1-1
node-set-blocking	2.0.0-2
node-set-immediate-shim	2.0.0-2
node-shebang-command	2.0.0-1
node-shebang-regex	3.0.0-2
node-shell-quote	1.7.4+~1.7.1-1
node-signal-exit	4.1.0-6
node-slash	4.0.0-3
node-slice-ansi	5.0.0+~cs9.0.0-5
node-source-list-map	2.0.1+dfsg+~0.1.2-1
node-source-map	0.7.0++dfsg2+really.0.6.1-15
node-spdx-correct	3.1.1-2
node-spdx-exceptions	2.3.0-2
node-spdx-expression-parse	3.0.1+~3.0.1-1
node-spdx-license-ids	3.0.12-1
node-sprintf-js	1.1.2+ds1+~1.1.2-1
node-ssri	9.0.1-2
node-stack-utils	2.0.6+~2.0.1-1
node-string-decoder	1.3.0-6
node-strip-bom	4.0.0-2
node-supports-color	8.1.1+~8.1.1-1
node-tapable	2.2.1-3
node-terser	5.19.2-1
node-text-table	0.2.0-4
node-through	2.3.8+~cs0.0.30-1
node-time-stamp	2.2.0-2
node-to-fast-properties	3.0.1-3
node-tslib	2.4.1-1
node-type-check	0.4.0+dfsg-3
node-typedarray	0.0.7-1
node-typedarray-to-buffer	4.0.0-2
node-undici	5.26.3+dfsg1+~cs23.10.12-2
node-unicode-canonical-property-names-ecmascript	2.0.0-2
node-unicode-match-property-value-ecmascript	2.1.0+ds-1
node-unicode-property-aliases-ecmascript	2.1.0+ds-1
node-unset-value	2.0.1-1
node-uri-js	4.4.0+dfsg-8
node-util-deprecate	1.0.2-3
node-uuid	8.3.2+~8.3.3-4
node-v8flags	3.2.0+~3.1.1-1
node-validate-npm-package-license	3.0.4-2
node-wcwidth.js	1.0.2-2
node-webpack-sources	3.2.3+~3.2.0-2
node-wordwrap	1.0.0-4
node-wrappy	1.0.2-3
node-write-file-atomic	4.0.2+~4.0.0-2
node-xtend	4.0.2-3
node-y18n	5.0.8+~5.0.0-3
node-yallist	4.0.0+~4.0.1-1
node-yaml	2.3.4-1build1
nodejs	22.18.0-1nodesource1
npm	9.2.0~ds1-2
openjdk-17-jre-headless:amd64	17.0.16+8~us1-0ubuntu1~24.04.1
openjdk-17-jre:amd64	17.0.16+8~us1-0ubuntu1~24.04.1
openssh-client	1:9.6p1-3ubuntu13.13
openssl	3.0.13-0ubuntu3.6
os-prober	1.81ubuntu4
packagekit	1.2.8-2ubuntu1.2
packagekit-tools	1.2.8-2ubuntu1.2
passwd	1:4.13+dfsg1-4ubuntu3.2
pastebinit	1.6.2-1
patch	2.7.6-7build3
pci.ids	0.0~2024.03.31-1ubuntu0.1
perl	5.38.2-3.2ubuntu0.2
perl-base	5.38.2-3.2ubuntu0.2
perl-modules-5.38	5.38.2-3.2ubuntu0.2
perl-openssl-defaults:amd64	7build3
pinentry-curses	1.2.1-3ubuntu5
pkg-config:amd64	1.8.1-2build1
pkgconf-bin	1.8.1-2build1
pkgconf:amd64	1.8.1-2build1
polkitd	124-2ubuntu1.24.04.2
postgresql	16+257build1.1
postgresql-16	16.10-0ubuntu0.24.04.1
postgresql-client-16	16.10-0ubuntu0.24.04.1
postgresql-client-common	257build1.1
postgresql-common	257build1.1
postgresql-contrib	16+257build1.1
procps	2:4.0.4-4ubuntu3.2
psmisc	23.7-1build1
publicsuffix	20231001.0357-0.1
pulseaudio-utils	1:16.1+dfsg1-2ubuntu10.1
python-apt-common	2.7.7ubuntu5
python-babel-localedata	2.10.3-3build1
python3	3.12.3-0ubuntu2
python3-apport	2.28.1-0ubuntu3.8
python3-apt	2.7.7ubuntu5
python3-attr	23.2.0-2
python3-automat	22.10.0-2
python3-babel	2.10.3-3build1
python3-bcrypt	3.2.2-1build1
python3-blinker	1.7.0-1
python3-bpfcc	0.29.1+ds-1ubuntu7
python3-certifi	2023.11.17-1
python3-cffi-backend:amd64	1.16.0-2build1
python3-chardet	5.2.0+dfsg-1
python3-click	8.1.6-2
python3-colorama	0.4.6-4
python3-commandnotfound	23.04.0
python3-configobj	5.0.8-3
python3-constantly	23.10.4-1
python3-cryptography	41.0.7-4ubuntu0.1
python3-dbus	1.3.2-5build3
python3-debconf	1.5.86ubuntu1
python3-dev	3.12.3-0ubuntu2
python3-distro	1.9.0-1
python3-distro-info	1.7build1
python3-distupgrade	1:24.04.27
python3-gdbm:amd64	3.12.3-0ubuntu1
python3-gi	3.48.2-1
python3-hamcrest	2.1.0-1
python3-httplib2	0.20.4-3
python3-hyperlink	21.0.0-5
python3-idna	3.6-2ubuntu0.1
python3-incremental	22.10.0-1
python3-jinja2	3.1.2-1ubuntu1.3
python3-json-pointer	2.0-0ubuntu1
python3-jsonpatch	1.32-3
python3-jsonschema	4.10.3-2ubuntu1
python3-jwt	2.7.0-1
python3-launchpadlib	1.11.0-6
python3-lazr.restfulclient	0.14.6-1
python3-lazr.uri	1.0.6-3
python3-lldb-18	1:18.1.3-1ubuntu1
python3-markdown-it	3.0.0-2
python3-markupsafe	2.1.5-1build2
python3-mdurl	0.1.2-1
python3-minimal	3.12.3-0ubuntu2
python3-netaddr	0.8.0-2ubuntu1
python3-netifaces:amd64	0.11.0-2build3
python3-netplan	1.1.2-2~ubuntu24.04.2
python3-newt:amd64	0.52.24-2ubuntu2
python3-oauthlib	3.2.2-1
python3-openssl	23.2.0-1
python3-pip	24.0+dfsg-1ubuntu1.3
python3-pip-whl	24.0+dfsg-1ubuntu1.3
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-problem-report	2.28.1-0ubuntu3.8
python3-pyasn1	0.4.8-4
python3-pyasn1-modules	0.2.8-1
python3-pycurl	7.45.3-1build2
python3-pygments	2.17.2+dfsg-1
python3-pyparsing	3.1.1-1
python3-pyrsistent:amd64	0.20.0-1build2
python3-requests	2.31.0+dfsg-1ubuntu1.1
python3-rich	13.7.1-1
python3-serial	3.5-2
python3-service-identity	24.1.0-1
python3-setuptools	68.1.2-2ubuntu1.2
python3-setuptools-whl	68.1.2-2ubuntu1.2
python3-six	1.16.0-4
python3-software-properties	0.99.49.3
python3-systemd	235-1build4
python3-twisted	24.3.0-1ubuntu0.1
python3-typing-extensions	4.10.0-1
python3-tz	2024.1-2
python3-update-manager	1:24.04.12
python3-urllib3	2.0.7-1ubuntu0.2
python3-venv	3.12.3-0ubuntu2
python3-wadllib	1.3.6-5
python3-wheel	0.42.0-2
python3-yaml	6.0.1-2build2
python3-zope.interface	6.1-1build1
python3.12	3.12.3-1ubuntu0.8
python3.12-dev	3.12.3-1ubuntu0.8
python3.12-minimal	3.12.3-1ubuntu0.8
python3.12-venv	3.12.3-1ubuntu0.8
readline-common	8.2-4build1
rpcsvc-proto	1.4.2-0ubuntu7
rsync	3.2.7-1ubuntu1.2
rsyslog	8.2312.0-3ubuntu9.1
run-one	1.17-0ubuntu2
sed	4.9-2build1
sensible-utils	0.0.22
session-migration	0.3.9build1
sgml-base	1.31
shared-mime-info	2.4-4
show-motd	3.12
snapd	2.68.5+ubuntu24.04.1
software-properties-common	0.99.49.3
squashfs-tools	1:4.6.1-1build1
ssl-cert	1.1.2ubuntu1
sudo	1.9.15p5-3ubuntu5.24.04.1
sysstat	12.6.1-2
systemd	255.4-1ubuntu8.10
systemd-dev	255.4-1ubuntu8.10
systemd-hwe-hwdb	255.1.4
systemd-resolved	255.4-1ubuntu8.10
systemd-sysv	255.4-1ubuntu8.10
systemd-timesyncd	255.4-1ubuntu8.10
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3build1
terraform	1.13.1-1
thermald	2.5.6-2ubuntu0.24.04.2
time	1.9-0.2build1
tmux	3.4-1ubuntu0.1
tzdata	2025b-0ubuntu0.24.04.1
ubuntu-kernel-accessories	1.539.2
ubuntu-keyring	2023.11.28.1
ubuntu-minimal	1.539.2
ubuntu-mono	24.04-0ubuntu1
ubuntu-pro-client	36ubuntu0~24.04
ubuntu-pro-client-l10n	36ubuntu0~24.04
ubuntu-release-upgrader-core	1:24.04.27
ubuntu-wsl	1.539.2
ucf	3.0043+nmu1
udev	255.4-1ubuntu8.10
unattended-upgrades	2.9.1+nmu4ubuntu1
unzip	6.0-28ubuntu4.1
update-manager-core	1:24.04.12
update-motd	3.12
upower	1.90.3-1
usb.ids	2024.03.18-1
usbmuxd	1.1.1-5~exp3ubuntu2
util-linux	2.39.3-9ubuntu6.3
uuid-runtime	2.39.3-9ubuntu6.3
valgrind	1:3.22.0-0ubuntu3
vim	2:9.1.0016-1ubuntu7.9
vim-common	2:9.1.0016-1ubuntu7.9
vim-runtime	2:9.1.0016-1ubuntu7.9
vim-tiny	2:9.1.0016-1ubuntu7.9
wget	1.21.4-1ubuntu4.1
whiptail	0.52.24-2ubuntu2
wsl-pro-service	0.1.4
wsl-setup	0.5.10~24.04
wslu	3.2.3-0ubuntu3
x11-common	1:7.7+23ubuntu3
x11-utils	7.7+6build2
x11-xserver-utils	7.7+10build2
xauth	1:1.1.2-1build1
xdg-user-dirs	0.18-1build1
xdg-utils	1.1.3-4.1ubuntu3
xkb-data	2.41-2ubuntu1.1
xml-core	0.19
xxd	2:9.1.0016-1ubuntu7.9
xz-utils	5.6.1+really5.4.5-1ubuntu0.2
zip	3.0-13ubuntu0.2
zlib1g-dev:amd64	1:1.3.dfsg-3.1ubuntu2.1
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.1
zstd	1.5.5+dfsg2-2build1.1
zutty	0.14.8.20231210+dfsg1-1
